,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
218,Pleasantville(1998),0.0599,0.1231,0.361,0.0725,0.0367,0.097,0.1414,0.2428,0.091,0.0363,4523.0,0.0126,1.7,B1
219,Powder(1995),0.0773,0.1262,0.3282,0.0722,0.0355,0.1027,0.1545,0.2345,0.0891,0.04,3297.0,0.0136,2.0,B1
220,Powder(1995),0.0773,0.1262,0.3282,0.0722,0.0355,0.1027,0.1545,0.2345,0.0891,0.04,3297.0,0.0136,2.0,B1
221,Pride_and_Prejudice,0.0872,0.1379,0.3453,0.0855,0.0377,0.1344,0.142,0.2025,0.1039,0.0604,4851.0,0.0002,2.3,
222,Pulp_fiction(1994),0.0603,0.107,0.2951,0.0708,0.0303,0.0825,0.1259,0.1781,0.0829,0.0417,8588.0,0.0109,1.6,B2
223,Ratatouille(2007),0.0751,0.1678,0.3699,0.0728,0.0367,0.1091,0.1702,0.2224,0.094,0.046,4409.0,0.0082,2.0,B2
224,Ready_or_not(2019),0.0595,0.1389,0.3549,0.0644,0.0473,0.0955,0.1626,0.2612,0.1118,0.0488,3212.0,0.0081,1.7,A2
225,Shrek(2001),0.0682,0.1416,0.3184,0.0835,0.0381,0.1049,0.1556,0.2062,0.0993,0.0486,4985.0,0.007,1.7,B1
226,Sleepless_in_Seattle(1993),0.059,0.1121,0.3828,0.071,0.0264,0.0826,0.1443,0.2498,0.0915,0.0362,5003.0,0.0168,1.8,A2
227,Soul(2020),0.0902,0.1277,0.3268,0.0801,0.0316,0.1095,0.1385,0.2141,0.1032,0.0431,4746.0,0.0101,1.7,B1
228,The_blind_side(2009),0.0615,0.1094,0.3325,0.0727,0.0291,0.0926,0.1394,0.2223,0.0995,0.0378,6876.0,0.0141,1.6,B2
229,The_blind_side(2009),0.0615,0.1094,0.3325,0.0727,0.0291,0.0926,0.1394,0.2223,0.0995,0.0378,6876.0,0.0141,1.6,B1
