,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
56,"Crown, The S01E07 - Scientia Potentia Est.en.SDH",0.1058,0.1541,0.3261,0.0945,0.047,0.132,0.1588,0.2225,0.108,0.0471,2297.0,0.0126,3.0,
57,"Crown, The S01E07 - Scientia Potentia Est.en",0.1094,0.1591,0.3264,0.0958,0.0484,0.1365,0.1622,0.2242,0.1097,0.0477,2212.0,0.0122,3.0,
58,"Crown, The S01E08 - Pride & Joy.en.SDH",0.093,0.1633,0.3152,0.1122,0.0454,0.1216,0.1566,0.2163,0.1089,0.05,2646.0,0.014,3.2,
59,"Crown, The S01E08 - Pride & Joy.en",0.0962,0.1635,0.32,0.115,0.0462,0.1243,0.1571,0.2174,0.1106,0.0496,2556.0,0.0113,3.2,
60,"Crown, The S01E09 - Assassins.en.SDH",0.0904,0.1494,0.345,0.0909,0.0484,0.1148,0.1475,0.2316,0.1167,0.0486,2168.0,0.0129,3.1,
61,"Crown, The S01E09 - Assassins.en",0.0912,0.1498,0.3493,0.0951,0.0493,0.117,0.1481,0.2329,0.1209,0.0478,2050.0,0.0117,3.2,
62,"Crown, The S01E10 - Gloriana.en.FORCED",0.1304,0.2464,0.2319,0.0435,0.0145,0.1452,0.2097,0.2581,0.0323,0.0161,69.0,0.0435,5.1,
63,"Crown, The S01E10 - Gloriana.en.SDH",0.0963,0.147,0.3219,0.1084,0.0479,0.1246,0.1462,0.2336,0.1138,0.0608,2150.0,0.0107,3.0,
64,"Crown, The S01E10 - Gloriana.en",0.102,0.1486,0.3284,0.1114,0.0485,0.1295,0.1468,0.2334,0.1111,0.0601,2019.0,0.0134,3.1,
65,Frozen.2013.WEB-DL.DSNP,0.0673,0.128,0.2852,0.0908,0.0256,0.1061,0.1505,0.2106,0.1053,0.0413,4726.0,0.0133,1.6,
66,Ghosts.of.Girlfriends.Past.2009.BluRay.720p.x264.YIFY,0.0644,0.1283,0.3429,0.0763,0.0288,0.1008,0.1321,0.2182,0.1014,0.0425,5652.0,0.012,1.8,B2
67,icarus.2017.web.x264-strife,0.098,0.1433,0.2767,0.0948,0.0322,0.1414,0.1467,0.1799,0.1087,0.0589,6212.0,0.0098,2.2,
68,Roman Holiday 1953 1080p WEBRip HEVC AAC,0.077,0.1493,0.3563,0.0873,0.0383,0.096,0.1631,0.2532,0.0994,0.0365,3208.0,0.0062,2.2,B2
69,Secrets Of Her Majesty's Secret Service eng,0.1119,0.1505,0.2265,0.1062,0.0501,0.1453,0.1324,0.1771,0.1029,0.0612,3674.0,0.0136,3.1,B2
70,SOMM.Into.the.Bottle.2015.1080p.BluRay.x265-RARBG.en.srt,0.0752,0.1201,0.3502,0.098,0.0329,0.1116,0.1388,0.1851,0.0992,0.0504,5868.0,0.0119,2.1,B2
71,Suits.Episode 1- Denial,0.0806,0.1115,0.3615,0.0679,0.0379,0.1088,0.1464,0.2667,0.0931,0.0387,3004.0,0.009,1.8,B2
72,Suits.Episode 10- Faith,0.0778,0.1249,0.3929,0.0718,0.0295,0.103,0.1628,0.274,0.1077,0.0316,2507.0,0.0076,2.0,B2
73,Suits.Episode 11- Blowback,0.0843,0.1189,0.3238,0.0806,0.0444,0.1073,0.1582,0.2622,0.104,0.0444,2952.0,0.0058,1.8,B2
74,Suits.Episode 12- Live to Fight,0.1022,0.0988,0.3303,0.0852,0.0338,0.1227,0.1337,0.2564,0.1149,0.0343,3015.0,0.0073,1.8,B2
75,Suits.Episode 13- God's Green Earth,0.0991,0.1251,0.3174,0.085,0.0369,0.1147,0.1432,0.2474,0.1116,0.04,3037.0,0.0082,1.9,B2
76,Suits.Episode 14- Self Defense,0.0988,0.1121,0.3072,0.0741,0.0461,0.1221,0.1331,0.2433,0.1003,0.0487,3210.0,0.009,1.9,B2
77,Suits.Episode 15- Tick Tock,0.1001,0.1082,0.3145,0.0889,0.0433,0.1109,0.1433,0.2531,0.1041,0.0493,2957.0,0.0074,1.8,B2
78,Suits.Episode 16- 25th Hour,0.0907,0.1122,0.3281,0.0796,0.033,0.11,0.154,0.2518,0.099,0.0452,2700.0,0.0085,1.8,B2
79,Suits.Episode 2- Compensation,0.0855,0.1206,0.3448,0.0792,0.0289,0.1098,0.1602,0.2473,0.1019,0.0366,3042.0,0.0082,1.9,B2
80,Suits.Episode 3- No Refills,0.1062,0.1351,0.3015,0.0865,0.0359,0.107,0.1559,0.2291,0.1174,0.0498,3005.0,0.008,2.1,B2
81,Suits.Episode 4- No Puedo Hacerlo,0.078,0.1337,0.3278,0.0814,0.0457,0.109,0.1538,0.2373,0.0988,0.0591,2910.0,0.0055,2.0,B2
82,Suits.Episode 5- Toe to Toe,0.0828,0.1127,0.3081,0.1019,0.0562,0.1054,0.1494,0.2356,0.1092,0.0527,3080.0,0.0084,2.0,B2
83,Suits.Episode 6- Privilege,0.0806,0.1075,0.3191,0.0998,0.0388,0.1105,0.1509,0.2288,0.1193,0.0404,3015.0,0.006,2.0,B2
84,Suits.Episode 7- Hitting Home,0.0941,0.115,0.351,0.0722,0.0348,0.1129,0.1443,0.2571,0.1021,0.0383,3103.0,0.0106,2.0,B2
85,Suits.Episode 8- Mea Culpa,0.1027,0.1216,0.3386,0.0855,0.0393,0.1221,0.1485,0.2574,0.1045,0.0429,2853.0,0.006,1.9,B2
86,Suits.Episode 9- Uninvited Guests,0.0827,0.12,0.3371,0.0784,0.0363,0.1101,0.1538,0.246,0.0933,0.0476,2999.0,0.0073,1.9,B2
87,Suits.S01E01.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0852,0.1237,0.3234,0.083,0.0452,0.1067,0.1382,0.2187,0.1166,0.0635,4471.0,0.0089,2.1,B2
88,Suits.S01E02.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0842,0.1272,0.342,0.0869,0.0461,0.1265,0.1518,0.2551,0.1063,0.0466,2602.0,0.0088,2.2,B2
89,Suits.S01E03.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0926,0.1186,0.3203,0.0953,0.0306,0.1227,0.1492,0.2404,0.1011,0.0451,2613.0,0.0084,2.3,B2
90,Suits.S01E04.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0771,0.134,0.3192,0.0857,0.0393,0.1119,0.1495,0.2247,0.0944,0.0518,2904.0,0.0117,2.5,B2
91,Suits.S01E05.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0911,0.1261,0.3248,0.0907,0.041,0.1103,0.1438,0.2306,0.1094,0.047,2657.0,0.0087,2.4,B2
92,Suits.S01E06.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0763,0.1234,0.3269,0.0965,0.0296,0.1082,0.139,0.2341,0.1157,0.0429,2869.0,0.0119,2.2,B2
93,Suits.S01E07.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.1056,0.1262,0.3222,0.1017,0.0393,0.1357,0.1489,0.2403,0.1037,0.0481,2567.0,0.0109,2.5,B2
94,Suits.S01E08.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.1044,0.1255,0.3053,0.0847,0.0425,0.1279,0.1634,0.2176,0.0923,0.0474,2941.0,0.0102,2.5,B2
95,Suits.S01E09.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0827,0.1306,0.3296,0.0688,0.0319,0.1072,0.147,0.2532,0.0906,0.0407,2949.0,0.0115,2.2,B2
96,Suits.S01E10.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0892,0.1349,0.334,0.0799,0.0286,0.1127,0.1718,0.2272,0.108,0.0366,2802.0,0.0089,2.3,B2
97,Suits.S01E11.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0885,0.1187,0.3422,0.0973,0.0309,0.1283,0.144,0.2566,0.1077,0.0323,2621.0,0.0095,2.3,B2
98,Suits.S01E12.1080p.BluRay.AAC5.1.x265-DTG.02.EN,0.0833,0.111,0.3688,0.0864,0.0241,0.12,0.1435,0.2511,0.102,0.0448,2568.0,0.0082,2.0,B2
99,Suits.S02E01.HDTV.x264-AVS,0.0875,0.1202,0.3519,0.0784,0.0411,0.104,0.1403,0.2452,0.104,0.0468,2870.0,0.0098,2.2,B2
100,Suits.S02E02.HDTV.x264-ASAP,0.089,0.1113,0.3508,0.0987,0.0304,0.123,0.1458,0.2546,0.1055,0.0326,2372.0,0.0093,2.3,B2
101,Suits.S02E03.HDTV.x264-ASAP,0.1063,0.1323,0.3523,0.0818,0.0282,0.1426,0.1491,0.247,0.0969,0.0354,2691.0,0.0111,2.4,B2
102,Suits.S02E04.HDTV.x264-ASAP,0.0961,0.1191,0.3073,0.0987,0.05,0.1239,0.1378,0.2108,0.1058,0.0599,3039.0,0.0092,2.4,B2
103,Suits.S02E05.iNTERNAL.HDTV.x264-2HD,0.0823,0.1189,0.3553,0.0916,0.0366,0.1112,0.144,0.2592,0.0924,0.0516,2674.0,0.0093,2.2,B2
104,Suits.S02E06.All.In.HDTV.x264-FQM,0.0964,0.12,0.3341,0.0799,0.0412,0.1159,0.144,0.2335,0.0904,0.0527,2667.0,0.0101,2.5,B2
105,Suits.S02E07.Sucker.Punch.PROPER.HDTV.x264-FQM,0.1015,0.1199,0.3245,0.088,0.0382,0.1192,0.1527,0.2301,0.1067,0.0544,2669.0,0.0086,2.1,B2
106,Suits.S02E08.HDTV.x264-EVOLVE,0.08,0.0999,0.3661,0.0785,0.0222,0.1025,0.1185,0.2521,0.0969,0.0282,2663.0,0.0154,2.3,B2
107,Suits.S02E09.HDTV.x264-ASAP,0.0918,0.1291,0.3379,0.083,0.0294,0.1132,0.1466,0.2421,0.0946,0.0297,2820.0,0.0106,2.2,B2
108,Suits.S02E10.HDTV.x264-ASAP,0.0832,0.1194,0.3361,0.0766,0.0373,0.1084,0.1506,0.24,0.0974,0.0392,2571.0,0.0105,2.3,B2
109,Suits.S02E11.HDTV.x264-ASAP,0.0915,0.1259,0.3331,0.0761,0.0293,0.118,0.1495,0.2448,0.0944,0.0383,2732.0,0.0113,2.2,B2
110,Suits.S02E12.HDTV.x264-ASAP,0.0839,0.1121,0.3208,0.0689,0.0368,0.1059,0.1427,0.2372,0.0888,0.0473,2802.0,0.0096,2.2,B2
111,Suits.S02E13.REPACK.HDTV.x264-2HD,0.0902,0.1104,0.3236,0.0763,0.0415,0.1107,0.1345,0.2223,0.0924,0.043,2726.0,0.0139,2.4,B2
112,Suits.S02E14.HDTV.x264-ASAP,0.0942,0.1173,0.3194,0.0876,0.0422,0.1173,0.1385,0.2396,0.1092,0.0566,2727.0,0.0103,2.2,B2
113,Suits.S02E15.HDTV.x264-ASAP,0.074,0.1292,0.3103,0.0823,0.0401,0.1054,0.1405,0.2283,0.0957,0.05,2917.0,0.012,2.4,B2
114,Suits.S02E16.HDTV.x264-2HD,0.0881,0.1143,0.3449,0.0856,0.039,0.1091,0.1524,0.2446,0.1063,0.0395,2746.0,0.0113,2.3,B2
115,The.Grinch.2018.REMUX.1080p.Blu-ray.AVC.TrueHD.DTS-HD.MA.7.1-LEGi0N.English,0.0558,0.1145,0.3103,0.0487,0.0262,0.0907,0.1399,0.234,0.0786,0.0259,3510.0,0.0162,1.9,
116,The.Notebook.DVDRip.XviD-DiAMOND,0.0585,0.1112,0.3954,0.0582,0.0281,0.0988,0.1367,0.2636,0.0972,0.0379,4378.0,0.0069,1.6,B2
117,The.Sound.of.Music.1965.WEBRip.iTunes,0.0706,0.1348,0.3439,0.0933,0.031,0.1009,0.1567,0.2232,0.1122,0.0401,6133.0,0.0067,1.6,
118,The.True.Cost.2015.BluRay.720p.700MB.Ganool.com,0.1127,0.1631,0.3147,0.1021,0.0293,0.1435,0.1518,0.1833,0.1079,0.0454,5084.0,0.0089,2.5,
119,Virgin.River.S01E01.INTERNAL.720p.WEB.x264-STRiFE,0.0654,0.1281,0.3717,0.0752,0.0408,0.0935,0.1699,0.2624,0.1032,0.0355,2155.0,0.0107,2.4,
120,Virgin.River.S01E02.INTERNAL.720p.WEB.x264-STRiFE,0.065,0.1316,0.4001,0.0576,0.0384,0.1056,0.1636,0.2668,0.087,0.0429,2447.0,0.0074,2.0,
121,Virgin.River.S01E03.INTERNAL.720p.WEB.x264-STRiFE,0.0736,0.1341,0.3752,0.0705,0.0469,0.1031,0.1711,0.2529,0.1148,0.0414,2580.0,0.0066,2.2,
122,Virgin.River.S01E04.INTERNAL.720p.WEB.x264-STRiFE,0.0755,0.1424,0.3797,0.0741,0.0384,0.1206,0.1699,0.2687,0.0953,0.0287,2212.0,0.0068,2.3,
123,Virgin.River.S01E05.INTERNAL.720p.WEB.x264-STRiFE,0.0711,0.1205,0.3244,0.0901,0.0304,0.0955,0.1623,0.2538,0.0996,0.0396,1942.0,0.0098,2.1,
124,Virgin.River.S01E06.INTERNAL.720p.WEB.x264-STRiFE,0.0749,0.1346,0.3803,0.0693,0.0391,0.0995,0.1867,0.2557,0.0894,0.0283,2482.0,0.0085,2.0,
125,Virgin.River.S01E07.INTERNAL.720p.WEB.x264-STRiFE,0.081,0.1268,0.3729,0.0693,0.0352,0.1185,0.1485,0.2807,0.1022,0.0259,1963.0,0.0107,2.1,
126,Virgin.River.S01E08.INTERNAL.720p.WEB.x264-STRiFE,0.0743,0.1354,0.3604,0.0664,0.0432,0.0958,0.1699,0.2708,0.0907,0.0396,1898.0,0.0137,2.3,
127,Virgin.River.S01E09.INTERNAL.720p.WEB.x264-STRiFE,0.0631,0.1123,0.3711,0.0802,0.0358,0.0918,0.1396,0.2926,0.1051,0.0319,1870.0,0.0091,2.3,
128,Virgin.River.S01E10.INTERNAL.720p.WEB.x264-STRiFE,0.0718,0.1364,0.3771,0.0679,0.0293,0.0949,0.1702,0.2816,0.0964,0.0346,1811.0,0.0105,2.0,
129,z srt23 uk-bun Gullivers.Travels.1939.720p.BluRay.x264-CiNEFiLE,0.0663,0.135,0.2783,0.1143,0.045,0.0807,0.1466,0.2323,0.1021,0.0395,1689.0,0.0089,1.9,B2
130,Downton Abbey - S01E01 - Episode 1.eng.SDH,0.097,0.1464,0.3202,0.0833,0.0552,0.1169,0.164,0.237,0.1144,0.0463,3423.0,0.0108,2.2,C1
131,Downton Abbey - S01E02 - Episode 2.eng.SDH,0.0905,0.1503,0.3216,0.0855,0.0422,0.128,0.1455,0.2331,0.1157,0.0438,2795.0,0.015,2.5,C1
132,Downton Abbey - S01E03 - Episode 3.eng.SDH,0.0922,0.1667,0.3244,0.0777,0.0473,0.1166,0.1621,0.2445,0.1062,0.0445,2472.0,0.0174,2.5,C1
133,Downton Abbey - S01E04 - Episode 4.eng.SDH,0.0655,0.1532,0.3442,0.0756,0.0407,0.1016,0.155,0.2495,0.1068,0.0421,2382.0,0.0172,2.5,C1
134,Downton Abbey - S01E05 - Episode 5.eng.SDH,0.0717,0.1578,0.3619,0.0752,0.0335,0.0974,0.1516,0.258,0.1135,0.0382,2567.0,0.0148,2.3,C1
135,Downton Abbey - S01E06 - Episode 6.eng.SDH,0.0891,0.1427,0.3318,0.0918,0.0506,0.1133,0.1479,0.2266,0.1236,0.0487,2571.0,0.0124,2.5,C1
136,Downton Abbey - S01E07 - Episode 7.eng.SDH,0.0759,0.1422,0.3484,0.0786,0.0418,0.1102,0.1703,0.2347,0.1161,0.0297,3347.0,0.0137,2.1,C1
137,Suits.S03E01.480pHDTV.x264-mSD,0.0812,0.1218,0.3331,0.0791,0.0375,0.1056,0.1393,0.245,0.0993,0.0455,2882.0,0.0135,2.3,C1
138,Suits.S03E02.720pHDTV.x264-mSD,0.0837,0.117,0.3317,0.0879,0.0469,0.1039,0.1544,0.234,0.1078,0.0573,2855.0,0.0084,2.1,C1
139,Suits.S03E03.480pHDTV.x264-mSD,0.0859,0.1249,0.3231,0.0949,0.0473,0.1106,0.1462,0.2327,0.1096,0.0548,2770.0,0.0105,2.2,C1
140,Suits.S03E04.480pHDTV.x264-mSD,0.1031,0.1364,0.3042,0.0959,0.0369,0.1272,0.1711,0.2208,0.1128,0.0402,2794.0,0.0097,2.2,C1
141,Suits.S03E05.480p.HDTV.x264-mSD,0.0876,0.1267,0.3111,0.0802,0.0499,0.1137,0.1522,0.2383,0.0926,0.0532,2967.0,0.0121,2.2,C1
142,Suits.S03E06.720p.HDTV.x264-mSD,0.0745,0.1139,0.3529,0.0759,0.0318,0.0935,0.1353,0.2816,0.0945,0.0348,2740.0,0.015,2.1,C1
143,Suits.S03E07.HDTV.x264-mSD,0.0928,0.1115,0.2819,0.0885,0.0421,0.1159,0.1414,0.2187,0.1046,0.0547,2781.0,0.0104,2.3,C1
144,Suits.S03E08.480p.HDTV.x264-mSD,0.0916,0.1031,0.3183,0.0988,0.0465,0.1077,0.1291,0.247,0.1128,0.0518,2774.0,0.009,2.1,C1
145,Suits.S03E09.480p.HDTV.x264-mSD,0.0802,0.1152,0.3298,0.0959,0.0424,0.1078,0.1412,0.2424,0.1059,0.0372,2856.0,0.0112,2.2,C1
146,Suits.S03E10.HDTV.x264-mSD,0.0776,0.1106,0.3197,0.081,0.0446,0.1129,0.1368,0.244,0.0967,0.0565,2912.0,0.0089,2.1,C1
147,10_Cloverfield_lane(2016),0.069,0.1195,0.293,0.0845,0.0298,0.0881,0.1183,0.2081,0.0984,0.0371,2652.0,0.0143,2.7,B1
148,10_things_I_hate_about_you(1999),0.0716,0.1242,0.3575,0.0796,0.0347,0.1079,0.1196,0.2089,0.1058,0.046,3896.0,0.0118,2.2,B1
149,Aladdin(1992),0.0839,0.1411,0.2707,0.0994,0.0349,0.1029,0.1352,0.1953,0.093,0.0475,4267.0,0.0129,2.1,A2
150,All_dogs_go_to_heaven(1989),0.065,0.1325,0.2631,0.0541,0.0256,0.0979,0.134,0.2131,0.0756,0.0361,4340.0,0.0108,1.4,A2
151,An_American_tail(1986),0.0499,0.1072,0.3338,0.0672,0.0263,0.0786,0.1302,0.2583,0.0969,0.0323,3005.0,0.0213,1.7,A2
152,A_knights_tale(2001),0.0918,0.1337,0.292,0.085,0.0428,0.1031,0.1331,0.2048,0.1068,0.0505,3531.0,0.0125,2.3,B2
153,A_star_is_born(2018),0.066,0.1297,0.4111,0.0651,0.0269,0.0949,0.1627,0.2536,0.0965,0.0359,5792.0,0.0078,1.2,B2
154,Babe(1995),0.0634,0.1403,0.3195,0.0638,0.0258,0.0773,0.1293,0.1956,0.0765,0.0347,2980.0,0.0104,2.6,A2
155,Back_to_the_future(1985),0.0593,0.1298,0.3121,0.0595,0.0275,0.0783,0.1291,0.1897,0.0777,0.0324,4623.0,0.0091,2.3,A2
156,Banking_On_Bitcoin(2016),0.1156,0.1319,0.3076,0.0917,0.0351,0.142,0.1425,0.1685,0.1078,0.0567,5988.0,0.0135,2.2,C1
157,Batman_begins(2005),0.1064,0.1408,0.2899,0.0908,0.039,0.1406,0.1459,0.1951,0.1085,0.0581,4381.0,0.0103,2.4,A2
158,Beauty_and_the_beast(2017),0.0854,0.1534,0.3453,0.0852,0.0453,0.1121,0.159,0.2113,0.0971,0.0496,4309.0,0.0079,2.0,B2
159,Before_I_go_to_sleep(2014),0.0598,0.1289,0.3306,0.0602,0.0226,0.1013,0.1948,0.2948,0.0961,0.026,2607.0,0.0054,1.8,B2
160,Before_sunrise(1995),0.0621,0.1171,0.3942,0.0812,0.0321,0.0766,0.1227,0.2053,0.088,0.0365,4236.0,0.0085,2.6,B1
161,Before_sunset(2004),0.0713,0.132,0.4323,0.0932,0.0308,0.1027,0.1516,0.2407,0.1101,0.0408,4841.0,0.0064,1.8,B1
162,Braveheart(1995),0.0951,0.1501,0.2535,0.0735,0.0466,0.1121,0.1384,0.1794,0.1075,0.0619,3345.0,0.0126,2.3,B2
163,Breaking_Bad_The_Movie(2017),0.0804,0.1508,0.3738,0.0714,0.0271,0.1115,0.1423,0.2564,0.091,0.0321,3767.0,0.0085,1.2,
164,Bren╨Æ.Brown.The.Call.to.Courage.2019.720.NF.720p.DDP.5.1.x264-CafeFlix,0.092,0.1397,0.3353,0.1197,0.0492,0.1209,0.1459,0.2267,0.0933,0.0572,5839.0,0.0065,1.6,
165,Bridget_Joness_Baby,0.077,0.1464,0.3526,0.074,0.0367,0.1099,0.1425,0.1919,0.1064,0.0448,5443.0,0.0086,2.3,C1
166,Bridget_Jones_diary(2001),0.0728,0.1417,0.3234,0.07,0.0335,0.1187,0.1374,0.1933,0.1049,0.0362,5560.0,0.0142,2.1,B1
167,Cars(2006),0.0576,0.1172,0.2955,0.0692,0.0302,0.0896,0.1183,0.1839,0.092,0.0439,6461.0,0.0104,1.5,B1
168,Casper,0.0716,0.126,0.4027,0.0888,0.0282,0.092,0.1513,0.2443,0.0977,0.0354,2555.0,0.011,2.3,
169,Cast_away(2000),0.0698,0.1224,0.3348,0.0586,0.0261,0.0891,0.1455,0.25,0.0799,0.0338,2336.0,0.0124,2.3,A2
170,Catch_me_if_you_can(2002),0.0741,0.1482,0.3356,0.0793,0.0217,0.0978,0.1459,0.218,0.0978,0.0404,5912.0,0.0108,1.8,B1
171,Charlie_and_the_Chocolate_Factory,0.0669,0.1391,0.3234,0.0717,0.0256,0.1015,0.1505,0.2257,0.0972,0.0319,4184.0,0.011,2.0,B1
172,Cinderella(1950),0.0728,0.1526,0.3311,0.0787,0.0419,0.1138,0.1569,0.2491,0.1042,0.0395,2555.0,0.0074,1.9,B1
173,Clueless(1995),0.0789,0.1188,0.302,0.0759,0.0264,0.1104,0.1248,0.2101,0.0966,0.0416,5983.0,0.009,2.0,B1
174,Deadpool(2016),0.0764,0.1176,0.2704,0.081,0.0347,0.0997,0.1254,0.1762,0.0891,0.0458,5248.0,0.0181,2.2,B2
175,Despicable_Me(2010),0.0684,0.1372,0.3201,0.0936,0.0362,0.0924,0.145,0.2553,0.1176,0.0441,2543.0,0.009,2.1,B2
176,Die_hard(1988),0.0738,0.1221,0.3028,0.0664,0.0349,0.106,0.1292,0.2169,0.0915,0.052,4293.0,0.0126,2.2,B1
177,Dredd(2012),0.1103,0.1306,0.2117,0.0823,0.0373,0.1266,0.133,0.1826,0.1073,0.055,2711.0,0.0148,2.4,A2
178,Dune(2021),0.0975,0.1203,0.2339,0.0767,0.037,0.1241,0.1411,0.1747,0.0937,0.0595,4514.0,0.0095,2.2,B2
